Chemin, Nom, Taille(#classses),NCLOC,CLOC,ANA, NOM, NOA, ITC, ETC, CAC, DIT, CLD, NOC, NOD
src/, ParseurView,1,21,11,1.0,2,0,0,0,1,0,0,0,0
src/controller,ParseurController,1,217,62,0.88,9,16,1,0,5,0,0,0,0
src/Model/,Parcer,8,243,114,0.64,17,5,1,0,2,0,0,0,0
src/Model/,UMLComponent,8,7,14,0.0,1,1,0,0,0,0,1,3,3
src/Model/,UMLClass,8,131,62,0.9,12,10,2,19,12,1,0,0,0
src/Model/,UMLAggregate,8,11,13,1.0,3,2,0,0,1,1,0,0,0
src/Model/,UMLAssoAggrega,8,8,10,0.0,1,2,0,0,0,0,1,2,2
src/Model/,UMLAttributes,8,20,18,0.75,5,4,0,0,1,1,0,0,0
src/Model/,UMLMethode,8,54,24,0.22,10,5,0,1,1,1,0,0,0
src/Model/,UMLRelation,8,12,12,1.0,3,2,0,1,1,1,0,0,0
src/Metrics/,CalcMetrics,3,172,115,1.04,20,3,17,0,5,0,0,0,0
src/Metrics/,Metrics,3,60,47,0.5,8,4,0,0,2,0,0,0,0
src/Metrics/,CSV,3,47,27,0.66,3,5,0,0,3,0,0,0,0
